Индекс(i)	Узел(xi)	Числ.реш(vi)	Точн.реш(ui)	Погрешность|vi-ui|	Невязка(ri)
72	0.0703125000	10.4449462891	10.4449462891	0.0000000000	0.0000000000
73	0.0712890625	10.4573917389	10.4573917389	0.0000000000	0.0000000149
74	0.0722656250	10.4700088501	10.4700088501	0.0000000000	0.0000000298
75	0.0732421875	10.4827976227	10.4827976227	0.0000000000	0.0000000298
76	0.0742187500	10.4957580566	10.4957580566	0.0000000000	0.0000000000
77	0.0751953125	10.5088901520	10.5088901520	0.0000000000	0.0000000000
78	0.0761718750	10.5221939087	10.5221939087	0.0000000000	0.0000000000
79	0.0771484375	10.5356693268	10.5356693268	0.0000000000	0.0000000298
80	0.0781250000	10.5493164063	10.5493164062	0.0000000000	0.0000000298
81	0.0791015625	10.5631351471	10.5631351471	0.0000000000	0.0000000149
82	0.0800781250	10.5771255493	10.5771255493	0.0000000000	0.0000000000
83	0.0810546875	10.5912876129	10.5912876129	0.0000000000	0.0000000149
84	0.0820312500	10.6056213379	10.6056213379	0.0000000000	0.0000000000
85	0.0830078125	10.6201267242	10.6201267242	0.0000000000	0.0000000149
86	0.0839843750	10.6348037720	10.6348037720	0.0000000000	0.0000000000
87	0.0849609375	10.6496524811	10.6496524811	0.0000000000	0.0000000149
88	0.0859375000	10.6646728516	10.6646728516	0.0000000000	0.0000000298
89	0.0869140625	10.6798648834	10.6798648834	0.0000000000	0.0000000000
90	0.0878906250	10.6952285767	10.6952285767	0.0000000000	0.0000000298
91	0.0888671875	10.7107639313	10.7107639313	0.0000000000	0.0000000298
92	0.0898437500	10.7264709473	10.7264709473	0.0000000000	0.0000000000
93	0.0908203125	10.7423496246	10.7423496246	0.0000000000	0.0000000298
94	0.0917968750	10.7583999634	10.7583999634	0.0000000000	0.0000000298
95	0.0927734375	10.7746219635	10.7746219635	0.0000000000	0.0000000000
96	0.0937500000	10.7910156250	10.7910156250	0.0000000000	0.0000000000
97	0.0947265625	10.8075809479	10.8075809479	0.0000000000	0.0000000298
98	0.0957031250	10.8243179321	10.8243179321	0.0000000000	0.0000000000
99	0.0966796875	10.8412265778	10.8412265778	0.0000000000	0.0000000596
100	0.0976562500	10.8583068848	10.8583068848	0.0000000000	0.0000000596
